Model Name,Compilation Time,Training Time,Average Evaluation Time,Average Accuracy
MobileNetV2,0.005999565124511719,1632.1922798156738,0.00034070117473602296,0.9101999998092651
InceptionV3,0.0049991607666015625,2605.4178144931793,0.0005341050148010254,0.8956999778747559
InceptionResNetV2,0.007000446319580078,4390.165549278259,0.000939094352722168,0.9024999737739563
